"Name_Z","Name_A","Location_A","Location_B","Photo_Film","Bunch_Pattern","Notes","Source","Year","Shots_Min","Shots_Max","Shots_Tot","Len_Min","Len_Max","Len_Tot","Time_A","B1","B2","B3","Time_Z","Bunches","Quality"
"Adams","Victoria","TSBD","Floor 4",,"?","111 or 120: First shot when limo was behind tree, followed by a pause. No direct mention of bunching, but no mention of pause between shots 2/3 either. Car speeded up after 3rd shot.","CD5, 6H388, box 3 folder 19 file 3 of the Dallas JFK Archive","1963","3","3","3",,,"0","100","1","2","0","50","1","75"
"Allen","JB","Main Street","Houston Street",,,"Shots (plural) mentioned, no number","18H601","1964",,,,,,"0","0",,,,"0","0","0"
"Allman","Pierce","Elm Street","Reflecting Pool",,"None","Shots evenly spaced, not rapid, JFK ducked after 1st.","WFAA report on day","1963","3","3","3",,,"0","100","1","1","1","50","0","75"
"Altgens","James","Lawn","Elm Street","P 2-8","None","First shot just before taking photo at Z255. Head shot was final shot. May have been more pops in between the two he heard.","AP & 7H517","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Arce","Danny","Elm Street","TSBD",,"End","1st just after car passed by. 2nd and 3rd shot close together.","24H199, CD205","1963","3","3","3",,,"0","50","1","2","0","50","1","50"
"Arnold","Carolyn","Elm Street","TSBD",,,"No shot info.","22H635","1964",,,,,,"0","0",,,,"0","0","0"
"Atkins","Thomas","Motorcade","Camera Car #1","Film","End","1st shot when car had just turned the corner. Last 2 shots within 2 seconds","Tabloid midnight & Pictures of the pain","1977","3","3","3",,,"0","50","1","2","0","50","1","50"
"Ault","Cecil","Criminal Courts","Floor 2",,"Start","210 or 021 - First 2 shots very close together, sounded like from an automatic weapon. JFK raised up after 1st, slumped after 2nd.","24H534","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Aynesworth","Hugh","Elm Street","Houston Street",,"None","2nd shot = head shot. No mention of bunching or rapid fire.","Dallas Morning News","1964","3","3","3",,,"0","100","1","1","1","100","0","100"
"Baker","Marrion","Motorcade","Forward Mid Motorcycles",,"None","Shots evenly spaced. No timespan for whole shooting sequence. First shot 60-80ft onto Houston Street, timing from Mc63.","3H245","1963","3","3","3",,,"0","100","1","1","1","50","0","75"
"Baker","Virgie","Elm Street","TSBD",,,"nee Rackley (or Rachley). Something hit the road after the first shot. No timing info.","CD5, 7H510","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Bales","Arthur W","Motorcade","Signal Corps Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Barclay","Malcolm","Main Street","Houston Street",,,"One or more shots","26H552","1964",,,,,,"0","0",,,,"0","0","0"
"Barefoot Sanders Jr","Harold","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Barnett","Welcome","Elm Street","Houston Street",,"?","Saw JFK duck after the 1st shot. No mention of rapid or bunched shots.","22H598, 7H541","1964","3","3","3",,,"0","100","1","1","1","50","0","75"
"Baskin","Robert","Motorcade","National Press Pool",,"None","No mention of bunching, seemingly well spaced shots.","Dallas Morning News","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Beckworth","Lindley","Motorcade","Congressman #2",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Bell","Jack","Motorcade","National Press Pool",,"None","Shots were possibly 5 seconds apart.","AP Bulletin & AP article found in the Ada Oklahoma Evening News","1964","3","3","3","10","10","10","50","1","1","1","50","0","50"
"Bell","Mark","Peristyle","Reflecting Pool","Film","Somewhere","At least 2 of the shots were bunched.","Six Seconds In Dallas","1967","3","3","3",,,"0","0",,,,"0","0","0"
"Bell","SW","Motorcade","National Press Pool",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Bellah","SQ","Motorcade","Advance Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Benevides","Robert","Houston Street","Criminal Courts",,,"No witness data. Standing with CM Jones.","19H512",,,,,,,"0","0",,,,"0","0","0"
"Bennett","Glen","Motorcade","Secret Service #1",,"End","110 or 120 or 210: Meaning of note is ambiguous, but the Altgens 6 photo indicates he was looking right after first shot and hadn't yet looked forward at Z255, so 2nd shot came after this.","Note on day","1963","2","3","2.5",,,"0","50","1.5","1.5","0","100","2","75"
"Berry","Jane","Elm Street","Grassy Knoll",,"?","120 or 111, no timing of last 2 shots given. Pause of several seconds after the first shot.","CD5","1963","3","3","3",,,"0","100","1","1.5","0.5","50","1","75"
"Betzner","Hugh","Elm Street","Reflecting Pool","P 1-3",,"At least 2 shots. First shot was after he took his photo at Z186. Second shot was at the same time as the explosion in the car.","24H200, UPI article","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Biffle","Kent","Motorcade","Local Press Pool",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Bishop","Curtis","Bridge","Elm Street",,,"No details on shot timing or spacing.","22H834","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Bond","Wilma","Peristyle","Reflecting Pool","P 1-9",,"At least 3 shots.","CD735","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Boone","Eugene","Main Street","Dallas Sheriff",,,"Pauses between each of the shots. No specific times or references.","3H292","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Bothun","Richard","Lawn","Elm Street","P 1-5",,"No witness data.",,,,,,,,"0","0",,,,"0","0","0"
"Bowers","Lee","Railway Tower","Railway Yard",,"End","First shot limo was behind Pergola, last shot as it emerged into view.  Map & Mc63 suggests shots all between Z250-Z430","6H288","1964","3","3","3",,,"0","100","0","1","2","100","1","100"
"Braden","Jim","Dal-Tex","Floor 3",,,"AKA Eugene Hale Brading.","19H469","1963",,,,,,"0","0",,,,"0","0","0"
"Brandon","Henry","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Brandt","Ernest","Elm Street","Grassy Knoll",,,"Late evidence, and not consistent.","St. Petersburg Times, Sixth Floor Museum, emails/letters to researchers","1993",,,,,,"0","0",,,,"0","0","0"
